Url Name,Project ID,File ID
reborncore,237903,2538177
journeymap,32274,2498312
nether-metals,243277,2534709
libvulpes,236541,2524375
stimmedcow-nomorerecipeconflict,238123,2529891
quark,243121,2523813
notenoughids,235107,2483500
schematica,225603,2517396
the-one-probe,245211,2496985
lunatriuscore,225605,2489549
akashic-tome,250577,2476494
bibliocraft,228027,2456043
waystones,245755,2513625
torcherino,236794,2537867
thermal-foundation,222880,2518222
hat-stand,229076,2487075
shadowmc,226780,2441500
wireless-crafting-terminal,244559,2537802
tinkers-construct,74072,2530200
sync,229090,2537588
hardcore-darkness,225957,2499443
controlling,250398,2522248
terraqueous,244870,2537386
chicken-chunks-1-8,243883,2509854
radixcore,77286,2483855
just-enough-harvestcraft,267939,2537441
waddles,251767,2481603
magneticraft,224808,2532868
chance-cubes,233113,2515577
simpleharvest,240783,2475234
wawla-what-are-we-looking-at,224712,2528850
wanionlib,253043,2534271
better-questing-standard-expansion,238857,2538257
bad-wither-no-cookie-reloaded,261251,2496777
morpheus,69118,2432272
tinkers-addons,245549,2476626
cosmetic-armor-reworked,237307,2481744
simply-conveyors-more,245710,2449933
steves-carts-reborn,253462,2531381
ding,231275,2476271
appleskin,248787,2496585
cyclops-core,232758,2529758
earthworks,255427,2486190
mob-dismemberment,229067,2487081
chisels-bits,231095,2538652
lootbags,225946,2530014
mantle,74924,2474052
open-glider,252354,2464501
infinitefluids,247286,2484246
eiramoticons,230849,2489632
mo-bends,231347,2456231
client-tweaks,251407,2458010
platforms,244786,2533246
rftools,224641,2535639
tinkers-tool-leveling,250957,2507887
guide-api,228832,2466858
refined-storage,243076,2538885
in-control,257356,2533315
packing-tape,238659,2448178
trashslot,235577,2477077
mekanism-generators,268566,2510813
dynamic-lights,227874,2468183
storage-drawers,223852,2536306
silents-gems,220311,2536401
evilcraft,74610,2534933
shear-madness,250109,2482454
techreborn,233564,2538180
silent-lib,242998,2511191
dark-utilities,242195,2535632
roguelike-dungeons,221585,2492586
applecore,224472,2530884
biometweaker,228895,2531282
lockdown,244019,2477270
baby-mobs,238285,2483680
not-enough-wands,235595,2523975
default-options,232131,2513607
modtweaker,220954,2538356
extreme-reactors,250277,2525278
viescraft-airships,246795,2515257
extra-utilities,225561,2531075
not-enough-items-1-8,247694,2509851
more-player-models,221939,2521602
bloodmoon,226321,2537917
fullscreen-windowed-borderless-for-minecraft,227441,2456007
nuclearcraft-mod,226254,2526922
gravity-gun,229072,2487073
clumps,256717,2458862
perfect-spawn,221418,2537040
signals,245824,2522706
morph-o-tool,245287,2475117
shadowfacts-forgelin,248453,2505090
ftblib,237167,2537671
headcrumbs,222838,2534832
computercraft,67504,2478952
in-game-wiki-mod,223815,2501941
buildcraft-compat,233140,2532051
spartan-shields,252239,2528265
colossal-chests,237875,2534924
ingame-info-xml,225604,2489566
better-with-mods,246760,2538680
fence-overhaul,246222,2531068
biomes-o-plenty,220318,2537804
roots,246183,2510836
sonar-core,239418,2536247
inventory-tweaks,223094,2514356
integrated-dynamics,236307,2537761
thutcore,224428,2523953
project-74246,74246,2514803
vics-modern-warfare-mod,243788,2513699
buildcraft,61811,2532050
tesla,244651,2487959
d3core,223569,2531936
chickens,241941,2537643
openmodularturrets,224663,2527839
ender-utilities,224320,2538405
ftb-utilities,237102,2537672
twerk-sim-2k16,251301,2482383
fairy-lights,233342,2513426
ceramics,250617,2489278
iron-chests,228756,2533664
betterfps,229876,2483393
ender-zoo,225247,2484148
redstone-flux,270789,2448933
mputils,244940,2531404
baileys-dailies,250529,2523152
movingworld,230495,2485041
mekanism-tools,268567,2510814
better-questing-triggerer,250193,2507971
neat,238372,2436376
aroma1997core,223735,2533597
interaction-wheel,256287,2441962
compactstorage,223703,2531876
coroutil,237749,2515876
iron-backpacks,227049,2524324
compacter,231549,2490045
creeperhost-minetogether,267172,2516905
veinminer,67133,2457081
decocraft2,79616,2531390
redstone-paste,67508,2477676
mputils-basic-tools,245889,2538644
xnicex,255038,2514040
excore,233180,2537906
endertanks,59613,2533958
weather-storms-tornadoes,237746,2538828
pams-harvestcraft,221857,2533991
additional-resources,225124,2447369
deathquotes-death-quotes,253947,2435092
voxelmap,225179,2492763
redstone-arsenal,70631,2518221
quick-leaf-decay,225839,2469364
item-scroller,242064,2434598
omlib,254334,2527820
custom-npcs,221826,2521985
zerocore,247921,2482156
simple-generators,246010,2537684
extracells2,229218,2521550
botania-garden-of-glass,232502,2391198
tails,223584,2445532
chisel,235279,2535884
compact-machines,224218,2530170
armorplus,237366,2535417
better-advancements,272515,2504151
simple-void-world,254466,2498115
eleccore,227391,2510914
xnet,260912,2517060
chatflow,231453,2436360
forestry,59751,2532388
the-beneath,254629,2489848
mapwriter-2,231387,2510933
ichunutil,229060,2510760
lycanites-mobs,224770,2538877
rftools-control,250763,2514031
funky-locomotion,224190,2504291
atomicstrykers-infernal-mobs,227875,2510286
better-than-bunnies,241015,2477840
cofhcore,69162,2519297
ore-excavation,250898,2525179
tough-as-nails,246391,2538358
useful-nullifiers,247408,2444884
actuallycomputers,253005,2465255
refined-relocation-2,247135,2534578
grue,235133,2450761
base-metals,240967,2533182
codechicken-lib-1-8,242818,2509819
waila-harvestability,79287,2481605
portal-gun,229084,2537577
industrial-wires,251121,2532894
animania,261199,2533072
angel-ring-to-bauble,256224,2518561
placebo,283644,2537494
mob-grinding-utils,254241,2496911
malisiscore,223896,2526670
just-enough-resources-jer,240630,2523823
farming-for-blockheads,261924,2468274
launchgui,228810,2538994
et-lunar-environmental-tech-addon,253565,2537690
autoreglib,250363,2497562
immersive-petroleum,268250,2525427
more-bees,250226,2506997
jei-integration,265917,2491927
blood-magic,224791,2536268
helpfixer,223797,2479308
cxlibrary,244023,2463886
reliquary-v1-3,241319,2538537
dank-null,272514,2533602
hopper-ducts,72210,2454832
mrcrayfish-furniture-mod,55438,2512843
astral-sorcery,241721,2523583
valkyrielib,245480,2537682
more-shearables,241805,2457644
chest-transporter,78778,2524058
b-a-s-e,246996,2538283
openblocks,228816,2530225
davincis-vessels,228029,2499846
avaritia-1-10,261348,2511625
custom-main-menu,226406,2482584
natura,74120,2519128
mercurius,242838,2481890
gravestone-mod-graves,62929,2512995
clay-bucket,242568,2463480
hammer-core,247401,2537352
audio-death,225125,2447008
extraplanets,241291,2537979
mod-name-tooltip,238747,2486868
snad,241344,2480458
ender-storage-1-8,245174,2509842
login-shield,233255,2496183
advanced-rocketry,236542,2536771
blockcraftery,278882,2485336
kleeslabs,241895,2443462
minetweaker-recipemaker,226294,2497436
mmd-orespawn,245586,2533164
random-things,59816,2538044
resource-loader,226447,2477566
hardcore-map-reset,222536,2536464
moar-tinkers,263624,2464145
recurrent-complex,223150,2516761
